,Pad,Red,Green,Blue,Hexadecimal,Hex_R,Hex_G,Hex_B,MostlyRed,MostlyGreen,MostlyBlue,Grayscale,Brightness
96,96,253,125,35,FD7D23,FD,7D,23,True,False,False,False,413
97,97,185,176,36,B9B024,B9,B0,24,True,False,False,False,397
98,98,142,251,49,8EFB31,8E,FB,31,False,True,False,False,442
99,99,129,92,17,815C11,81,5C,11,True,False,False,False,238
100,100,57,40,3,392803,39,28,03,True,False,False,False,100
101,101,17,75,12,114B0C,11,4B,0C,False,True,False,False,104
102,102,6,79,56,064F38,06,4F,38,False,True,False,False,141
103,103,19,20,40,131428,13,14,28,False,False,True,False,79
104,104,17,33,88,112158,11,21,58,False,False,True,False,138
105,105,105,60,27,693C1B,69,3C,1B,True,False,False,False,192
106,106,170,9,15,AA090F,AA,09,0F,True,False,False,False,194
107,107,223,82,60,DF523C,DF,52,3C,True,False,False,False,365
108,108,218,105,28,DA691C,DA,69,1C,True,False,False,False,351
109,109,254,223,50,FEDF32,FE,DF,32,True,False,False,False,527
110,110,155,223,43,9BDF2B,9B,DF,2B,False,True,False,False,421
111,111,98,179,32,62B320,62,B3,20,False,True,False,False,309
112,112,27,28,48,1B1C30,1B,1C,30,False,False,True,False,103
113,113,221,251,97,DDFB61,DD,FB,61,False,True,False,False,569
114,114,124,251,186,7CFBBA,7C,FB,BA,False,True,False,False,561
115,115,151,154,252,979AFC,97,9A,FC,False,False,True,False,557
116,116,139,103,251,8B67FB,8B,67,FB,False,False,True,False,493
117,117,64,64,64,404040,40,40,40,False,False,False,True,192
118,118,116,116,116,747474,74,74,74,False,False,False,True,348
119,119,223,252,252,DFFCFC,DF,FC,FC,False,False,False,True,727
120,120,162,9,13,A2090D,A2,09,0D,True,False,False,False,184
121,121,52,0,1,340001,34,00,01,True,False,False,False,53
122,122,32,207,36,20CF24,20,CF,24,False,True,False,False,275
123,123,4,63,5,043F05,04,3F,05,False,True,False,False,72
124,124,185,176,36,B9B024,B9,B0,24,True,False,False,False,397
125,125,61,48,4,3D3004,3D,30,04,True,False,False,False,113
126,126,178,93,22,B25D16,B2,5D,16,True,False,False,False,293
127,127,73,20,3,491403,49,14,03,True,False,False,False,96
